ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,507,1478,971
1,0,0,27,0,-27
2,0,0,29,0,-29
3,1,0,27,0,-27
4,1,0,41,0,-41
5,1,0,48,0,-48
6,1,0,4,0,-4
7,1,1,640,1228,588
8,1,0,38,0,-38
9,1,0,9,0,-9
10,0,0,117,0,-117
11,1,1,230,1407,1177
12,0,0,55,0,-55
13,0,0,72,0,-72
14,1,0,113,0,-113
15,0,0,122,0,-122
16,0,0,94,0,-94
17,1,0,19,0,-19
18,1,1,116,1390,1274
19,1,0,21,0,-21
20,0,0,129,0,-129
21,1,1,1179,1438,259
22,1,1,1338,1386,48
23,1,1,1999,1528,-471
24,0,0,35,0,-35
25,1,0,119,0,-119
26,1,1,220,1300,1080
27,0,0,2,0,-2
28,1,1,404,1221,817
29,0,0,67,0,-67
30,0,0,42,0,-42
31,0,0,80,0,-80
32,1,1,1099,1255,156
33,1,1,383,1225,842
34,0,0,25,0,-25
35,1,1,645,1265,620
36,1,0,52,0,-52
37,1,0,4,0,-4
38,1,1,172,3028,2856
39,0,0,16,0,-16
40,1,1,249,1995,1746
41,0,0,9,0,-9
42,0,0,1,0,-1
43,1,1,262,1293,1031
44,1,1,228,1213,985
45,1,1,1625,2436,811
46,1,0,4,0,-4
47,1,1,246,3314,3068
48,0,0,214,0,-214
49,0,0,84,0,-84
50,1,0,6,0,-6
51,1,1,356,1757,1401
52,0,0,198,0,-198
53,0,0,116,0,-116
54,1,0,11,0,-11
55,0,0,73,0,-73
56,0,0,21,0,-21
57,0,0,31,0,-31
58,1,1,221,1229,1008
59,1,0,28,0,-28
60,0,0,44,0,-44
61,1,0,4,0,-4
62,0,0,1,0,-1
63,1,1,801,1533,732
64,0,0,48,0,-48
65,0,0,57,0,-57
66,1,1,1013,2138,1125
67,1,0,30,0,-30
68,1,0,79,0,-79
69,0,0,10,0,-10
70,0,0,112,0,-112
71,1,1,798,1305,507
72,0,0,46,0,-46
73,0,0,56,0,-56
74,0,0,28,0,-28
75,0,0,49,0,-49
76,1,0,39,0,-39
77,0,0,83,0,-83
78,1,0,84,0,-84
79,1,1,519,1563,1044
80,0,0,27,0,-27
81,0,0,158,0,-158
82,1,1,529,1370,841
83,1,1,545,1212,667
84,1,0,71,0,-71
85,0,0,9,0,-9
86,1,1,138,1357,1219
87,0,0,32,0,-32
88,1,1,482,1308,826
89,0,0,30,0,-30
90,0,0,129,0,-129
91,0,0,9,0,-9
92,1,0,15,0,-15
93,1,0,44,0,-44
94,1,0,122,0,-122
95,1,1,1907,2171,264
96,1,1,287,2286,1999
97,0,0,6,0,-6
