ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,70,42723.55120524451,0.11754476164006968,1,479,6907,12680,19108
1,55,21336.1722437077,0.027921313495994728,0,23,0,0,-23
2,50,25616.582648396754,0.24123139026668253,0,1,0,0,-1
3,34,27792.15596888829,0.1585218869438011,1,553,5702,1423,6572
4,23,38032.030028028756,0.17766649354606903,0,6,0,0,-6
5,44,22659.706678921346,0.1727874303063458,0,136,0,0,-136
6,18,21872.193095049995,0.30535882966614625,1,60,5898,2027,7865
7,29,29801.285501286697,0.2640230168910427,1,181,7055,6206,13080
8,19,22808.284786526456,0.19231982153376867,1,522,8194,1495,9167
9,27,21749.052589417766,0.04389584322297712,1,206,7597,2518,9909
10,57,20024.11361912741,0.043183360133025386,1,1782,5436,1445,5099
11,63,29624.66378352049,0.039504094553802424,1,1530,6136,2111,6717
12,37,21628.58555458824,0.005866297248175788,1,2429,18690,1340,17601
13,65,21777.74179513044,0.15587560316653262,1,477,5339,1488,6350
14,28,24543.85802039375,0.17864365916391675,1,314,6883,1429,7998
15,75,24238.6679452803,0.15063535963737115,1,1815,5304,1821,5310
16,52,35272.357354092375,0.10488998571306163,1,330,13520,2187,15377
17,40,28953.363141310398,0.4813156210522451,0,93,0,0,-93
18,26,29901.93024813637,0.2231133247555843,0,98,0,0,-98
19,45,23387.456596607622,0.005516735350857474,1,365,6328,1517,7480
20,18,44786.00490132164,0.09837343152578398,1,942,5910,1942,6910
21,46,21739.409141618067,0.05794301737185308,0,24,0,0,-24
22,38,23060.563695932247,0.09657339792045261,1,380,6467,2279,8366
23,18,21776.715271360834,0.4167910529347398,1,27,9810,5328,15111
24,40,26268.541006743006,0.23546692854148116,1,1096,11416,1388,11708
25,33,31635.294384498895,0.10256247114381407,0,114,0,0,-114
26,29,20383.891536555373,0.2631482367827923,0,2,0,0,-2
27,73,21184.44446412918,0.13271031718512377,0,30,0,0,-30
28,47,22783.23265233825,0.19863064004646952,1,3110,6731,2383,6004
29,22,31117.292783572768,0.17794430767434744,1,282,32192,1498,33408
30,38,32573.364045058865,0.4382472691162262,1,729,5414,1342,6027
31,29,29675.92931023548,0.10827143188794826,1,215,11912,1650,13347
32,48,24677.944849137966,0.19335171673297452,1,634,18513,1410,19289
33,72,121264.8454737158,0.24451854173021909,1,989,6250,1771,7032
34,63,22140.637760874975,0.04823721115503028,0,50,0,0,-50
35,19,20917.6681440878,0.24503273210815305,1,408,11141,1747,12480
36,30,21053.07980416359,0.0768703284397115,1,450,11472,2022,13044
37,38,22507.62449130782,0.05628211107794498,1,125,5986,3158,9019
38,40,24735.406253312114,0.0933481582557744,1,323,14282,1637,15596
39,47,23071.777521415697,0.22132365216372163,0,91,0,0,-91
40,46,21280.09830537623,0.25292579985692276,1,367,15225,1368,16226
41,32,47847.06380941543,0.017911770549551963,1,408,6672,2439,8703
42,75,52329.03567706439,0.048812110742510635,0,132,0,0,-132
43,32,20368.13276751387,0.26019456022724635,1,38,27735,1336,29033
