ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,4,0,-4
1,1,1,350,1545,1195
2,1,1,1167,1775,608
3,1,1,853,2313,1460
4,0,0,83,0,-83
5,1,0,38,0,-38
6,0,0,76,0,-76
7,1,1,176,1367,1191
8,1,0,58,0,-58
9,0,0,42,0,-42
10,0,0,66,0,-66
11,1,0,13,0,-13
12,1,0,75,0,-75
13,1,1,1176,1207,31
14,0,0,67,0,-67
15,1,1,173,1600,1427
16,0,0,15,0,-15
17,0,0,10,0,-10
18,0,0,16,0,-16
19,1,0,170,0,-170
20,1,0,82,0,-82
21,1,1,668,1445,777
22,0,0,25,0,-25
23,1,0,70,0,-70
24,0,0,9,0,-9
25,0,0,14,0,-14
26,1,0,79,0,-79
27,0,0,107,0,-107
28,0,0,180,0,-180
29,1,1,1449,1597,148
30,1,1,677,1414,737
31,1,1,1062,2316,1254
32,0,0,201,0,-201
33,1,0,4,0,-4
34,1,0,6,0,-6
35,1,0,76,0,-76
36,0,0,1,0,-1
37,0,0,17,0,-17
38,0,0,56,0,-56
39,0,0,109,0,-109
40,0,0,78,0,-78
41,0,0,61,0,-61
42,0,0,42,0,-42
43,0,0,25,0,-25
44,1,1,460,1411,951
45,0,0,36,0,-36
46,1,0,14,0,-14
47,1,0,6,0,-6
48,1,0,33,0,-33
49,1,0,109,0,-109
50,1,0,54,0,-54
51,0,0,29,0,-29
52,1,0,19,0,-19
53,0,0,39,0,-39
54,1,1,3378,1894,-1484
55,1,1,642,1357,715
56,1,1,89,1821,1732
57,1,1,157,1873,1716
58,0,0,11,0,-11
59,1,1,142,1239,1097
60,1,0,0,0,0
61,0,0,44,0,-44
62,0,0,144,0,-144
63,0,0,59,0,-59
64,1,1,572,1324,752
65,1,1,196,1277,1081
66,1,1,412,1650,1238
67,1,1,413,1272,859
68,1,0,69,0,-69
69,1,1,118,1759,1641
70,1,1,440,1881,1441
71,1,1,116,1475,1359
72,0,0,46,0,-46
73,1,0,7,0,-7
74,0,0,64,0,-64
75,0,0,159,0,-159
76,1,1,1203,1466,263
77,1,1,150,1205,1055
78,1,1,114,1220,1106
79,0,0,25,0,-25
80,0,0,233,0,-233
81,1,1,182,1509,1327
82,0,0,6,0,-6
83,0,0,16,0,-16
84,1,1,535,1474,939
85,1,1,396,1225,829
86,1,1,935,1373,438
87,1,1,815,1279,464
88,1,0,38,0,-38
89,1,1,759,1667,908
90,1,0,110,0,-110
91,0,0,96,0,-96
92,1,0,101,0,-101
93,0,0,0,0,0
94,1,0,82,0,-82
95,1,0,13,0,-13
96,0,0,11,0,-11
97,0,0,57,0,-57
98,1,1,355,1257,902
99,0,0,56,0,-56
100,1,0,83,0,-83
101,0,0,22,0,-22
102,0,0,1,0,-1
103,0,0,14,0,-14
104,0,0,11,0,-11
105,1,1,1506,1358,-148
106,1,0,77,0,-77
107,1,1,413,1355,942
108,1,1,239,1571,1332
109,1,1,161,1351,1190
110,1,1,598,1328,730
111,1,1,149,1819,1670
112,1,0,17,0,-17
113,1,1,191,2850,2659
114,1,0,30,0,-30
115,0,0,39,0,-39
116,1,1,29,1235,1206
117,1,0,14,0,-14
118,0,0,1,0,-1
119,1,1,699,1397,698
120,1,1,212,1879,1667
121,0,0,179,0,-179
122,1,1,836,2401,1565
123,1,0,9,0,-9
124,1,0,195,0,-195
125,0,0,112,0,-112
126,0,0,22,0,-22
127,1,1,288,1201,913
128,1,0,28,0,-28
129,1,1,148,1310,1162
130,1,1,127,1200,1073
131,0,0,10,0,-10
132,1,1,166,1519,1353
133,0,0,129,0,-129
134,1,1,909,1612,703
135,0,0,6,0,-6
136,1,1,450,1584,1134
137,1,1,383,1370,987
138,1,1,99,1543,1444
139,1,1,162,1275,1113
140,1,0,31,0,-31
141,1,1,1192,1577,385
142,1,0,72,0,-72
143,1,1,1569,1459,-110
144,1,1,1029,1202,173
145,1,1,107,1559,1452
146,0,0,94,0,-94
147,1,0,79,0,-79
148,1,1,1347,1224,-123
149,0,0,4,0,-4
150,0,0,62,0,-62
151,1,0,39,0,-39
152,1,0,18,0,-18
153,0,0,53,0,-53
154,1,0,20,0,-20
155,0,0,85,0,-85
156,1,1,468,1977,1509
157,1,1,1229,1203,-26
158,1,1,82,1772,1690
159,1,1,1303,1201,-102
160,1,0,21,0,-21
161,0,0,218,0,-218
162,1,0,38,0,-38
163,1,1,147,1216,1069
164,0,0,54,0,-54
