ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,35,21398.205316399686,0.550878619995429,1,106,5726,1639,7259
1,32,21829.794116415214,0.2556535331246042,0,3,0,0,-3
2,59,39362.764348022596,0.0614827307304221,0,8,0,0,-8
3,67,21537.394152224682,0.07282123940454743,1,61,7462,1558,8959
4,62,61404.89921548012,0.45621004450627867,1,587,14068,1451,14932
5,26,23185.98683798114,0.2556542671943903,1,1097,8026,1413,8342
6,53,21719.4704272634,0.00881429875989801,1,188,5983,1941,7736
7,38,20142.439985526988,0.17731113185982803,1,781,5925,1474,6618
8,40,94848.56913473312,0.06838593737657946,0,1,0,0,-1
9,30,26023.583477363394,0.028056027979912315,1,1016,5947,1603,6534
10,56,20627.841889750525,0.0013767001941959508,1,1333,16327,1900,16894
11,53,27835.37187529449,0.035770484577386366,1,225,27158,1750,28683
12,28,24053.61660768058,0.143874032208156,1,381,5489,1912,7020
13,33,23660.931217263595,0.23666807016682445,1,766,6847,3502,9583
14,19,36853.57441918796,0.06381818064919552,0,97,0,0,-97
15,46,35655.89869950334,0.06515127551179033,1,208,11591,1375,12758
16,21,21817.204413776988,0.5937234194249086,0,15,0,0,-15
17,69,32310.70974177853,0.04139829172277911,1,602,10008,2550,11956
18,58,22395.130485738522,0.08873579835596798,1,348,6388,1425,7465
19,23,28567.19621637426,0.22510364377970918,1,113,6933,2324,9144
20,35,34802.57093136514,0.2522107358747802,0,74,0,0,-74
21,21,37623.49682839603,0.16798058066032007,0,53,0,0,-53
22,58,27328.176473827833,0.20430042498233839,1,784,6625,2149,7990
23,73,36594.99033369602,0.007389707060013381,1,1169,5989,1416,6236
24,36,21735.689530814798,0.014757474466569047,0,42,0,0,-42
25,41,20274.214084658135,0.25480189958411303,1,155,20652,1948,22445
26,18,21839.45562932748,0.039655427873226366,1,63,5379,1468,6784
27,22,20115.883237035185,0.07605132932736987,1,664,6633,5311,11280
28,20,55731.852937514515,0.12929101283054242,1,175,9867,1672,11364
29,32,23554.655972490018,0.3728545048441687,1,178,5481,1562,6865
30,40,36431.92401401461,0.2813941405488024,0,57,0,0,-57
31,21,32142.258123449174,0.016493764837240316,1,156,6252,1863,7959
32,34,23189.464186250534,0.1703008622621082,1,354,5666,3034,8346
33,27,29504.103417231876,0.10842020171642253,1,486,16604,2136,18254
34,39,25449.562494325328,0.18339238911562095,0,39,0,0,-39
35,31,26074.10149408208,0.017017111917927978,0,135,0,0,-135
36,36,26373.560774998357,0.04287024588548015,1,279,6299,1390,7410
37,34,54831.66079578918,0.022435092516601342,1,375,18952,2827,21404
38,18,20407.84344732926,0.11399659240923118,0,13,0,0,-13
39,74,22783.282156885703,0.13250953882427824,1,589,6112,2796,8319
40,28,28100.03021336007,0.0352507586126928,1,806,6426,2158,7778
41,63,38455.6983859743,0.0765388730048805,0,26,0,0,-26
42,23,21986.75468037546,0.035454473393567644,1,367,8146,2029,9808
43,36,24231.778904407383,0.02067966253965819,1,762,8124,2058,9420
44,47,28615.669991375413,0.015944708464187576,1,366,13932,1667,15233
45,55,26573.56971602015,0.2748777212636012,1,351,11356,4582,15587
46,47,20458.425482158567,0.014290605335268063,1,431,5405,1696,6670
47,37,25452.376067594345,0.03064415925524299,1,95,6088,1348,7341
48,47,35817.034837948995,0.060562389055994925,0,96,0,0,-96
49,50,75526.16006902882,0.00940650946578979,1,197,5898,1335,7036
50,63,22500.45292607809,0.1911174266845316,1,542,5943,2490,7891
51,33,26107.315921107318,0.15344309588331084,1,234,6219,1632,7617
52,75,36047.20508005377,0.23015071763612135,1,181,5605,2058,7482
53,35,27765.05794932167,0.08784343341092012,1,273,6314,1691,7732
54,72,25911.650851683695,0.3156051691094833,1,573,6935,1719,8081
55,41,21188.132778325275,0.2718165327205136,0,16,0,0,-16
56,20,21411.094365795798,0.17499084901703194,1,265,8027,1669,9431
57,43,22077.772099283335,0.16062521217785125,1,762,5405,2168,6811
58,74,43096.935189832424,0.3240979741526529,1,958,11879,2707,13628
59,19,26395.385479786823,0.09497205679909071,1,108,8426,2558,10876
60,20,60393.81657729776,0.033271835911305746,0,47,0,0,-47
61,72,24133.435948115446,0.03041187867909234,1,702,27165,1353,27816
62,26,23138.070929313635,0.05728182707123236,1,112,13381,2092,15361
63,34,25031.294807915456,0.01669432858399598,1,990,5760,2687,7457
64,62,21825.392187083675,0.2533087034970204,0,19,0,0,-19
65,43,95990.87291817469,0.07517992828047036,1,112,9499,2457,11844
66,47,31548.216499951195,0.008698904054434067,0,10,0,0,-10
67,40,20242.059756700757,0.18275525337039897,1,154,6398,4348,10592
68,42,23957.726407466176,0.026427314965747635,1,526,5562,1982,7018
69,21,58390.94817016422,0.22027683903889375,0,14,0,0,-14
70,48,33659.58067816979,0.11414401667141658,0,20,0,0,-20
71,58,28307.469951522304,0.03744635333749844,1,154,6197,1351,7394
72,50,38698.92995413525,0.02065465284453598,1,691,6501,2070,7880
73,18,31692.31066913917,0.025545992091062397,0,3,0,0,-3
74,32,37444.23229151595,0.029432959042070966,1,74,9364,1412,10702
75,70,29180.21599465438,0.016469285839476874,1,465,13659,2378,15572
76,20,20269.38253130093,0.07797908432040225,1,133,6524,2051,8442
77,52,20162.227973066667,0.15534428829024846,1,830,6247,1914,7331
78,25,24340.013651477537,0.17132915514885594,1,112,14843,1726,16457
79,43,20268.704902105543,0.051063880297028366,1,498,19751,1431,20684
80,45,22251.89482747931,0.2644979785003914,0,141,0,0,-141
81,46,31701.42775840737,0.06869220779896919,1,124,7359,2374,9609
82,18,115680.65146956575,0.3123860821227631,0,11,0,0,-11
83,68,20385.662820801186,0.1255075877573248,0,76,0,0,-76
84,57,71097.59356733097,0.24893630269720957,1,206,12067,2239,14100
85,63,70546.63694130568,0.23672966303761392,1,529,10965,2639,13075
86,20,27455.266974317074,0.1868918284645262,0,36,0,0,-36
87,64,35479.85377656435,0.019819394656049084,1,313,9522,1367,10576
88,61,21942.4857365181,0.07772791633220592,1,1380,6307,2221,7148
89,21,34626.7211329706,0.03486142911393058,1,417,5719,1717,7019
90,34,20572.64627396821,0.00602812817012019,0,290,0,0,-290
91,20,77170.38080382759,0.12687530804078875,1,237,13907,2727,16397
92,38,32196.52056305496,0.1500205770955403,1,421,5792,1411,6782
93,56,24319.001903598368,0.05926199133354715,0,87,0,0,-87
94,42,20199.624984313283,0.0853041388515152,1,827,7325,4399,10897
95,21,23316.144633569274,0.45197520793552437,1,162,8919,1401,10158
96,71,22656.223723501556,0.1533573010558507,0,70,0,0,-70
97,73,20081.379509496503,0.22662302454314662,1,450,6804,1824,8178
98,41,21039.417082133637,0.06951156182874474,1,539,12672,1367,13500
99,36,22696.6288946878,0.1934698008301892,0,52,0,0,-52
100,53,21690.992538631373,0.23162538093924873,1,1117,5375,1662,5920
101,19,28108.59010957066,0.16225935247486098,1,1073,7188,1825,7940
102,39,26112.1016891858,0.2773606202316255,0,8,0,0,-8
103,26,21212.180805067106,0.03213503093047313,1,197,17064,1458,18325
104,22,23970.881064621877,0.2490574311971758,0,1,0,0,-1
105,23,21009.48365732255,0.15856053193761485,0,3,0,0,-3
106,35,22192.92036884001,0.007467626762612468,1,1060,7931,1489,8360
107,52,54946.88121725731,0.013204919859557938,1,852,6729,1589,7466
108,39,20108.09178089373,0.09129565185227621,1,304,5865,1904,7465
109,74,31335.44506749077,0.035915677188539885,1,308,7695,1982,9369
110,56,31296.28668553633,0.148271252763308,1,239,6205,1471,7437
111,31,21702.099260468407,0.109423446466106,1,66,7048,1363,8345
112,54,20860.520270474583,0.001039841316373075,0,16,0,0,-16
113,21,23359.327262123163,0.09069872648747782,1,286,12754,3879,16347
114,30,22088.482119554155,0.09855454069530835,1,493,10113,1604,11224
115,20,27833.05250949942,0.04574650113278987,1,176,8257,2750,10831
116,21,29166.0862318531,0.11725909403642941,1,787,6283,1701,7197
117,19,23408.361536537846,0.1888014198323102,1,728,40800,1861,41933
118,68,31904.638659681605,0.025796992158795662,1,536,5423,1404,6291
119,65,21289.598604003764,0.019285978028481456,0,25,0,0,-25
120,26,25439.554729906053,0.24038295401996393,0,128,0,0,-128
121,18,23175.060498418592,0.20401334314268268,0,100,0,0,-100
122,43,25037.484515172473,0.011933937791715797,1,265,9793,7313,16841
123,38,22370.50358869718,0.07890927238592517,1,566,8517,3963,11914
124,19,22721.543695940367,0.16273648005748545,1,591,5593,2132,7134
125,74,39823.478889869446,0.051465416929401445,1,292,5800,8204,13712
126,19,29803.86616524568,0.19600508187517063,0,4,0,0,-4
127,25,20812.705873505925,0.03447680843786177,1,136,6102,1858,7824
128,50,22704.95616398336,0.03407886901770475,1,57,5277,1655,6875
129,18,24161.69918730283,0.17972536336859632,1,1061,10167,1662,10768
130,43,23456.649700004797,0.043838115506113697,1,692,5315,1763,6386
131,39,24328.609205871388,0.14517407921758232,1,44,5391,1726,7073
132,31,24940.82974881123,0.021513534496870646,1,1261,5330,1649,5718
133,31,21784.624822085065,0.04324544872477558,1,473,7279,2857,9663
134,31,25026.165444256145,0.009104421286703534,1,263,8146,1432,9315
135,63,27110.797626318817,0.08173810252956663,1,198,5666,1409,6877
136,36,20386.83228863862,0.10400370870723315,1,683,5245,1349,5911
137,36,26000.026303626026,0.2991670230928685,1,1258,24490,1450,24682
138,71,24638.550875566674,0.1216945029437681,1,592,7112,1541,8061
139,73,27387.338792642277,0.031896027636929176,1,81,6834,2885,9638
140,51,26212.867141172213,0.26585138816329246,0,116,0,0,-116
141,56,25218.348331849393,0.023248426551897662,1,68,7662,1674,9268
142,21,26643.214854054066,0.05893665201970013,1,275,6896,1539,8160
143,25,29185.261602277376,0.16863203852548983,1,438,6744,1396,7702
144,30,20613.670018616802,0.12558339649315314,1,253,14070,1378,15195
145,60,21868.218271601105,0.3650630209807575,0,3,0,0,-3
146,45,22687.96603167799,0.2940186072487808,1,190,6957,2113,8880
147,53,45488.36472996974,0.02599805239441426,1,1512,8997,2428,9913
148,29,24438.034879417843,0.014592664331235116,1,1136,5688,2813,7365
149,43,28697.526336791718,0.09361119361056322,1,425,8353,1713,9641
150,24,21005.803541629368,0.009986977084734769,1,863,7719,1342,8198
151,67,22076.890176167497,0.07967930933155798,0,59,0,0,-59
152,27,25774.16558109825,0.22298286694237665,1,306,8972,2183,10849
153,28,36108.38369368522,0.049047060059803554,0,105,0,0,-105
154,68,43491.888863718596,0.05238306496094033,1,670,13658,2205,15193
155,23,21497.723245613615,0.001634946977320908,1,130,9302,1730,10902
156,43,28524.993235132704,0.06768832935945801,1,746,5319,1782,6355
157,49,24613.675519234796,0.3095890228583732,0,60,0,0,-60
158,24,44819.86197726668,0.14955692458979344,0,23,0,0,-23
159,52,20352.598562048075,0.017312065630513927,1,446,10738,2800,13092
160,37,58324.326741541285,0.36601150103704916,0,3,0,0,-3
161,25,22040.73031630448,0.19281954265353554,1,713,7230,1491,8008
162,28,23804.305558631426,0.10530578384271304,1,1103,10038,1714,10649
163,45,37493.31525958727,0.04407485560801753,1,370,12675,1657,13962
164,55,31392.846476289607,0.02439175054787334,1,78,8404,1812,10138
165,23,54736.366362937435,0.04346048934214486,1,798,9290,1409,9901
166,35,22133.048099503652,0.10443908857391666,1,183,6108,1341,7266
167,63,22456.416238996244,0.04422220276584488,1,1384,6346,1579,6541
168,24,22706.61879088089,0.07201619544703346,1,209,13477,4392,17660
169,33,24583.146857891952,0.06306807077723871,1,252,5430,1354,6532
170,63,24226.1681352036,0.28502966741695723,1,418,11241,2270,13093
171,24,32761.953044574242,0.0017282500983829081,1,225,5997,1477,7249
172,67,30358.277515807073,0.06166633412887436,1,56,7290,1564,8798
173,64,26164.604083976472,0.0016258535665856478,0,80,0,0,-80
174,20,27114.595568770164,0.08586006499451113,1,1184,6339,3244,8399
175,21,36726.193462023984,0.019544489300686037,1,134,13410,2407,15683
176,27,48238.25316861269,0.038781646142831645,1,350,6693,1488,7831
177,26,27705.46208958882,0.12272787661811718,1,1305,6837,1800,7332
178,21,92810.95931898685,0.18091405569272814,1,727,5809,1413,6495
179,21,22656.926497062068,0.02610531402742366,1,50,5982,1429,7361
180,40,23068.969969873953,0.1317099631150037,1,467,5930,1748,7211
181,73,23378.542490199023,0.06267575032000164,1,1638,5905,1591,5858
182,20,22860.864980149334,0.44142895496310136,0,76,0,0,-76
183,30,63882.581625732084,0.05769261331856708,0,39,0,0,-39
184,48,49849.06088313931,0.11616336054146528,0,39,0,0,-39
185,68,23438.163546493426,0.22120193277457065,1,174,6114,2624,8564
186,64,60767.17069176144,0.08802833368519365,1,139,5942,1733,7536
187,39,20554.73215103012,0.010894911413509564,1,732,6819,1371,7458
188,64,26352.40117424435,0.1448332661466213,1,79,7162,2012,9095
189,19,22194.663566278177,0.1137396822131279,0,15,0,0,-15
190,32,25361.604398279604,0.12531443505903203,1,130,5866,2671,8407
191,37,26206.512669000225,0.012056938816018105,1,1645,22023,1463,21841
192,18,23475.56810394023,0.14920405851085353,0,10,0,0,-10
193,33,26347.56349185155,0.05853614695449726,1,138,5528,1678,7068
194,45,25665.881717744218,0.28633231206131177,1,82,18879,1700,20497
195,21,28529.597146067652,0.014053568687629858,1,551,7707,1426,8582
196,20,22635.700307221618,0.1261585163563342,1,1178,9735,1339,9896
197,18,29538.083241171706,0.2875171695315871,1,990,13358,1867,14235
198,27,33516.226130618175,0.26010210380529125,0,19,0,0,-19
199,44,20751.576880790155,0.5829063835221626,0,60,0,0,-60
200,64,20017.793495898673,0.05672739796212032,1,328,7245,1752,8669
201,53,23799.959338619563,0.21585827414586856,0,97,0,0,-97
202,34,21094.143862730692,0.18156904146798128,1,724,6155,3153,8584
203,63,53625.582294335094,0.1502588838378274,1,1541,10868,3173,12500
204,30,39001.73924381615,0.35593248470640376,1,233,5584,1732,7083
205,53,20115.965836089246,0.012398136547575175,1,19,8747,1355,10083
206,51,25463.731016249283,0.03414846359199443,1,95,5910,2110,7925
207,53,26413.076678933332,0.0843957829681224,1,524,5727,1478,6681
208,30,23205.053536378735,0.18530357138423226,1,116,6840,3942,10666
209,40,21950.75249392038,0.2782425708470694,0,1,0,0,-1
210,18,30868.844505423243,0.03130770084566718,1,446,13755,2105,15414
211,45,23714.238929053387,0.022436814393330267,1,233,14477,1722,15966
212,24,31490.220026440507,0.03297169877287405,1,173,5598,1573,6998
213,25,50220.43732462017,0.09251399247421767,1,498,5881,1595,6978
214,55,21358.94814053244,0.06383907532872958,1,198,11816,1806,13424
215,69,32065.668140168993,0.29731898903787507,1,342,19479,1476,20613
216,21,23490.68023782899,0.11028655184829943,1,150,8064,1660,9574
217,19,21197.373546286723,0.11249131692836853,1,966,5650,6450,11134
218,45,22275.77149264794,0.4431466499064627,1,68,28773,2016,30721
219,22,21086.954942231245,0.0808377766449044,1,1540,9498,1447,9405
220,28,37923.825669827806,0.06489969411342279,0,21,0,0,-21
221,21,53925.66595641029,0.21846584781270495,1,54,5484,1548,6978
222,23,27286.879285540224,0.2864481086517969,0,1,0,0,-1
223,26,39631.36707944231,0.015370963212113665,1,135,6112,1458,7435
224,33,21604.051555050683,0.14742490080849058,0,22,0,0,-22
225,20,24450.41242364899,0.06684718946453551,1,1417,8007,1812,8402
226,61,64015.84683348768,0.14305433564609443,1,356,7386,1745,8775
227,47,52292.95543856397,0.19882121170765304,1,225,8874,1992,10641
228,55,30885.52807823281,0.04150564746390667,1,260,6845,1816,8401
229,29,27235.259243800294,0.0017441873462080034,1,396,6924,1726,8254
230,19,21883.082098510688,0.17996461140027925,1,224,6325,1890,7991
231,44,21178.5220287379,0.24406809073696595,1,152,5851,1718,7417
232,30,26582.470154536393,0.07676914268145335,1,430,5429,1731,6730
233,26,26376.9737379862,0.0241292133034231,1,121,8321,1823,10023
234,25,24121.39319208265,0.0009866083138227381,1,348,5850,1413,6915
235,32,24261.08225724162,0.00774738509877288,1,183,5901,1496,7214
236,43,28208.82827786654,0.0017520155294562117,1,526,6677,3702,9853
237,18,22761.009272227187,0.03405856710837112,1,636,6615,1879,7858
238,30,41601.314948734675,0.12135271322651382,1,494,8520,4251,12277
239,47,25420.52868438275,0.25811654037004667,1,274,5421,4098,9245
240,64,20507.87722808818,0.08945020781218643,1,585,7679,1393,8487
241,63,20156.34752718615,0.052962765491751135,1,1084,16053,1949,16918
242,21,22358.585968019415,0.23393752975471335,1,1720,5890,1778,5948
243,65,26842.95388927678,0.02629819259312112,1,365,6642,4950,11227
244,51,21467.971460927805,0.0874929816339522,0,131,0,0,-131
245,64,21152.1790858448,0.18291498451545446,1,270,5356,1850,6936
246,21,26636.13884937439,0.15699417924637682,1,699,5931,4696,9928
247,33,20588.421203123515,0.01345453046572219,1,99,6054,3374,9329
248,22,25753.294760903835,0.4839773709221455,1,132,7676,1353,8897
249,26,24545.797660169857,0.12144897671617011,1,331,6569,1878,8116
250,26,21212.72753973477,0.2157264836611996,1,472,6741,1546,7815
251,31,30654.786699533015,0.05501661575597019,1,1592,9737,2138,10283
252,19,22500.92339778399,0.14883648940236974,0,71,0,0,-71
253,33,25300.524871100635,0.03787984279610922,1,217,12125,2472,14380
