ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,171,0,-171
1,1,0,2,0,-2
2,1,1,117,1312,1195
3,1,0,15,0,-15
4,1,0,62,0,-62
5,1,0,17,0,-17
6,1,0,15,0,-15
7,0,0,70,0,-70
8,1,1,2906,1291,-1615
9,1,1,38,1203,1165
10,0,0,47,0,-47
11,0,0,3,0,-3
12,1,1,454,5829,5375
13,0,0,98,0,-98
14,1,1,224,2677,2453
15,1,0,18,0,-18
16,1,0,64,0,-64
17,0,0,70,0,-70
18,1,1,227,1303,1076
19,1,1,22,1349,1327
20,1,0,1,0,-1
21,0,0,62,0,-62
22,1,1,504,1998,1494
23,1,1,836,1381,545
24,1,1,1532,1515,-17
25,0,0,55,0,-55
26,1,1,384,1294,910
27,1,1,1187,1291,104
28,1,0,65,0,-65
29,1,1,100,1749,1649
30,1,0,12,0,-12
31,0,0,48,0,-48
32,1,1,392,1470,1078
33,0,0,65,0,-65
34,1,1,342,1632,1290
35,0,0,79,0,-79
36,0,0,66,0,-66
37,1,1,133,1223,1090
38,1,0,12,0,-12
39,0,0,35,0,-35
40,1,0,20,0,-20
41,1,0,11,0,-11
42,0,0,23,0,-23
43,0,0,72,0,-72
44,0,0,102,0,-102
45,1,1,243,1401,1158
46,1,1,105,1225,1120
47,0,0,23,0,-23
48,0,0,14,0,-14
49,1,1,655,1797,1142
50,0,0,10,0,-10
51,1,0,41,0,-41
52,0,0,100,0,-100
53,1,1,389,1386,997
54,0,0,114,0,-114
55,1,0,40,0,-40
56,1,0,19,0,-19
57,0,0,150,0,-150
58,1,1,139,1237,1098
59,1,1,1490,1297,-193
60,1,0,93,0,-93
61,1,0,18,0,-18
62,1,0,57,0,-57
63,1,0,111,0,-111
64,0,0,199,0,-199
65,0,0,100,0,-100
66,0,0,23,0,-23
67,1,0,11,0,-11
68,1,0,80,0,-80
69,1,1,160,1605,1445
70,1,1,294,1415,1121
71,0,0,57,0,-57
72,0,0,0,0,0
73,0,0,80,0,-80
74,0,0,18,0,-18
75,1,0,8,0,-8
76,1,1,160,1284,1124
77,1,0,42,0,-42
78,1,0,99,0,-99
79,1,0,40,0,-40
80,1,1,422,1387,965
81,1,1,57,2177,2120
82,0,0,25,0,-25
83,1,1,230,1265,1035
84,1,0,15,0,-15
85,0,0,1,0,-1
86,0,0,70,0,-70
87,1,0,4,0,-4
88,0,0,54,0,-54
89,0,0,23,0,-23
90,1,1,123,1889,1766
91,1,0,0,0,0
92,1,0,24,0,-24
93,0,0,20,0,-20
94,1,0,10,0,-10
95,1,1,45,1313,1268
